0,0,0,0,0,0,0,0,0,0,0
0.1489,-1.67e-08,0.29631,2.2931e-05,0.44075,4.6675e-05,0.58078,8.6057e-05,0.715,0.00026477,0.00072149
0.29631,2.2931e-05,0.44075,4.6675e-05,0.58078,8.6057e-05,0.715,0.00026477,0.84206,0.00072149,0.00099999
0.44075,4.6675e-05,0.58078,8.6057e-05,0.715,0.00026477,0.84206,0.00072149,0.96068,0.00099999,0.00099998
0.58078,8.6057e-05,0.715,0.00026477,0.84206,0.00072149,0.96068,0.00099999,1.0697,0.00099998,0.00099999
0.715,0.00026477,0.84206,0.00072149,0.96068,0.00099999,1.0697,0.00099998,1.168,0.00099999,0.00099998
0.84206,0.00072149,0.96068,0.00099999,1.0697,0.00099998,1.168,0.00099999,1.2546,0.00099998,0.00099999
0.96068,0.00099999,1.0697,0.00099998,1.168,0.00099999,1.2546,0.00099998,1.3286,0.00099999,0.00099998
1.0697,0.00099998,1.168,0.00099999,1.2546,0.00099998,1.3286,0.00099999,1.3894,0.00099998,0.00099998
1.168,0.00099999,1.2546,0.00099998,1.3286,0.00099999,1.3894,0.00099998,1.4362,0.00099998,0.00099998
1.2546,0.00099998,1.3286,0.00099999,1.3894,0.00099998,1.4362,0.00099998,1.4687,0.00099998,0.00099998
1.3286,0.00099999,1.3894,0.00099998,1.4362,0.00099998,1.4687,0.00099998,1.4864,0.00099998,0.00099999
1.3894,0.00099998,1.4362,0.00099998,1.4687,0.00099998,1.4864,0.00099998,1.4893,0.00099999,0.00099999
1.4362,0.00099998,1.4687,0.00099998,1.4864,0.00099998,1.4893,0.00099999,1.4773,0.00099999,0.00099998
1.4687,0.00099998,1.4864,0.00099998,1.4893,0.00099999,1.4773,0.00099999,1.4504,0.00099998,0.00099998
1.4864,0.00099998,1.4893,0.00099999,1.4773,0.00099999,1.4504,0.00099998,1.4091,0.00099998,0.00099998
1.4893,0.00099999,1.4773,0.00099999,1.4504,0.00099998,1.4091,0.00099998,1.3536,0.00099998,0.00099998
1.4773,0.00099999,1.4504,0.00099998,1.4091,0.00099998,1.3536,0.00099998,1.2846,0.00099998,0.00099999
1.4504,0.00099998,1.4091,0.00099998,1.3536,0.00099998,1.2846,0.00099998,1.2027,0.00099999,0.00099998
1.4091,0.00099998,1.3536,0.00099998,1.2846,0.00099998,1.2027,0.00099999,1.1088,0.00099998,0.00099999
1.3536,0.00099998,1.2846,0.00099998,1.2027,0.00099999,1.1088,0.00099998,1.0038,0.00099999,0.00099998
1.2846,0.00099998,1.2027,0.00099999,1.1088,0.00099998,1.0038,0.00099999,0.88873,0.00099998,0.00099998
1.2027,0.00099999,1.1088,0.00099998,1.0038,0.00099999,0.88873,0.00099998,0.76477,0.00099998,0.00099998
